quarter,industry1,industry2,recruitment_rate,resignation_rate
1996-Q2,services,"community, social and personal services",3.5,2.9
1996-Q2,others,others,2,2.2
1996-Q3,manufacturing,"food, beverages and tobacco",3.6,2.8
1996-Q3,manufacturing,textile and wearing apparel,3.4,2.9
1996-Q3,manufacturing,paper products and publishing,2.5,2.3
1996-Q3,manufacturing,petroleum and chemical products,2,1.5
1996-Q3,manufacturing,rubber and plastic products,3.2,3.3
1996-Q3,manufacturing,fabricated metal products,2.7,2.5
1996-Q3,manufacturing,machinery and equipment,2.5,2.6
1996-Q3,manufacturing,electrical products,2.2,2.4
1996-Q3,manufacturing,electronic products,2.7,2.6
1996-Q3,manufacturing,medical and precision instruments,1.9,1.8
1996-Q3,manufacturing,transport equipment,2.7,2.4
1996-Q3,manufacturing,other manufacturing industries,2.6,2.2
1996-Q3,construction,construction,2.6,1.9
1996-Q3,services,wholesale and retail trade,4.3,3.8
1996-Q3,services,hotels and restaurants,4.3,4.6
1996-Q3,services,"transport, storage and communications",2.6,1.7
1996-Q3,services,financial intermediation,2.8,2.2
1996-Q3,services,business and real estate services,4.3,3.5
1996-Q3,services,"community, social and personal services",3.5,2.4
1996-Q3,others,others,2.3,1.8
1996-Q4,manufacturing,"food, beverages and tobacco",3,2.4
1996-Q4,manufacturing,textile and wearing apparel,3.6,4
1996-Q4,manufacturing,paper products and publishing,1.4,1.5
1996-Q4,manufacturing,petroleum and chemical products,1.4,1.1
1996-Q4,manufacturing,rubber and plastic products,2.3,2.4
1996-Q4,manufacturing,fabricated metal products,2,1.9
1996-Q4,manufacturing,machinery and equipment,2,1.8
1996-Q4,manufacturing,electrical products,1.4,1.4
1996-Q4,manufacturing,electronic products,2.4,1.7
1996-Q4,manufacturing,medical and precision instruments,1.6,1.5
1996-Q4,manufacturing,transport equipment,1.8,1.4
1996-Q4,manufacturing,other manufacturing industries,2.1,1.4
1996-Q4,construction,construction,2.9,1.9
1996-Q4,services,wholesale and retail trade,4.5,3.1
1996-Q4,services,hotels and restaurants,4.5,3.5
1996-Q4,services,"transport, storage and communications",1.6,1.3
1996-Q4,services,financial intermediation,1.8,1.4
1996-Q4,services,business and real estate services,3.1,2.9
1996-Q4,services,"community, social and personal services",2.2,1.8
1996-Q4,others,others,1.6,2.2
1997-Q1,manufacturing,"food, beverages and tobacco",3.3,3.3
1997-Q1,manufacturing,textile and wearing apparel,2.6,4
1997-Q1,manufacturing,paper products and publishing,2.7,3.1
1997-Q1,manufacturing,petroleum and chemical products,1.7,2
1997-Q1,manufacturing,rubber and plastic products,3.5,4.3
1997-Q1,manufacturing,fabricated metal products,3.6,3.5
1997-Q1,manufacturing,machinery and equipment,3.1,3.4
1997-Q1,manufacturing,electrical products,2.8,3.6
1997-Q1,manufacturing,electronic products,3.4,3.9
1997-Q1,manufacturing,medical and precision instruments,2.7,2.5
1997-Q1,manufacturing,transport equipment,2.2,1.9
1997-Q1,manufacturing,other manufacturing industries,2.4,2.5
1997-Q1,construction,construction,3,2.5
1997-Q1,services,wholesale and retail trade,4.2,4.5
1997-Q1,services,hotels and restaurants,4.4,5.1
1997-Q1,services,"transport, storage and communications",2.3,2
1997-Q1,services,financial intermediation,2.4,2.2
1997-Q1,services,business and real estate services,3.7,3.6
1997-Q1,services,"community, social and personal services",3.3,3
1997-Q1,others,others,2.4,3
1997-Q2,manufacturing,"food, beverages and tobacco",3.7,2.9
1997-Q2,manufacturing,textile and wearing apparel,3.3,3.7
1997-Q2,manufacturing,paper products and publishing,3.2,3.2
1997-Q2,manufacturing,petroleum and chemical products,1.9,2
1997-Q2,manufacturing,rubber and plastic products,4.6,4.2
1997-Q2,manufacturing,fabricated metal products,3.3,2.9
1997-Q2,manufacturing,machinery and equipment,3.6,3.5
1997-Q2,manufacturing,electrical products,2.9,2.9
1997-Q2,manufacturing,electronic products,3.2,3.3
1997-Q2,manufacturing,medical and precision instruments,3.8,3.1
1997-Q2,manufacturing,transport equipment,2.1,2.1
1997-Q2,manufacturing,other manufacturing industries,2.8,2.6
1997-Q2,construction,construction,3.4,2.5
1997-Q2,services,wholesale and retail trade,4.6,4.3
1997-Q2,services,hotels and restaurants,4.9,5.1
1997-Q2,services,"transport, storage and communications",2.6,2
1997-Q2,services,financial intermediation,2.7,2.1
1997-Q2,services,business and real estate services,4.6,3.7
1997-Q2,services,"community, social and personal services",3.7,2.9
1997-Q2,others,others,4.4,2.2
1997-Q3,manufacturing,"food, beverages and tobacco",3.4,2.9
1997-Q3,manufacturing,textile and wearing apparel,2.7,2.5
1997-Q3,manufacturing,paper products and publishing,2.5,2.4
1997-Q3,manufacturing,petroleum and chemical products,1.7,1.7
1997-Q3,manufacturing,rubber and plastic products,4,3.1
1997-Q3,manufacturing,fabricated metal products,3.2,2.5
1997-Q3,manufacturing,machinery and equipment,3.1,2.3
1997-Q3,manufacturing,electrical products,3,2.4
1997-Q3,manufacturing,electronic products,3.3,2.4
1997-Q3,manufacturing,medical and precision instruments,3.4,2.1
1997-Q3,manufacturing,transport equipment,3,2
1997-Q3,manufacturing,other manufacturing industries,2.9,2.1
1997-Q3,construction,construction,3.3,2.1
1997-Q3,services,wholesale and retail trade,4.3,3.4
1997-Q3,services,hotels and restaurants,4.7,4.9
1997-Q3,services,"transport, storage and communications",2.3,1.7
1997-Q3,services,financial intermediation,2.7,2.1
1997-Q3,services,business and real estate services,4.9,3.6
1997-Q3,services,"community, social and personal services",3.5,2.3
1997-Q3,others,others,2.6,2
1997-Q4,manufacturing,"food, beverages and tobacco",3.1,2.1
1997-Q4,manufacturing,textile and wearing apparel,2.9,2.3
1997-Q4,manufacturing,paper products and publishing,1.6,1.3
1997-Q4,manufacturing,petroleum and chemical products,1.1,0.9
1997-Q4,manufacturing,rubber and plastic products,2.9,2
1997-Q4,manufacturing,fabricated metal products,2.3,1.6
1997-Q4,manufacturing,machinery and equipment,2.6,1.5
1997-Q4,manufacturing,electrical products,1.7,1.2
1997-Q4,manufacturing,electronic products,2.3,1.6
1997-Q4,manufacturing,medical and precision instruments,2.1,1.1
1997-Q4,manufacturing,transport equipment,2.2,1.4
1997-Q4,manufacturing,other manufacturing industries,1.7,1.3
1997-Q4,construction,construction,2.6,2
1997-Q4,services,wholesale and retail trade,3.9,3.1
1997-Q4,services,hotels and restaurants,5.7,4
1997-Q4,services,"transport, storage and communications",1.6,1.2
1997-Q4,services,financial intermediation,1.8,1.2
1997-Q4,services,business and real estate services,3.4,2.6
1997-Q4,services,"community, social and personal services",2.2,1.7
1997-Q4,others,others,1.5,1.8
1998-Q1,manufacturing,"food, beverages and tobacco",4.2,3.9
1998-Q1,manufacturing,textile and wearing apparel,3.9,3.7
1998-Q1,manufacturing,paper products and publishing,2.3,2.7
1998-Q1,manufacturing,petroleum and chemical products,1.2,1.4
1998-Q1,manufacturing,rubber and plastic products,3.9,3.1
1998-Q1,manufacturing,fabricated metal products,3.3,2.3
1998-Q1,manufacturing,machinery and equipment,2.4,2
1998-Q1,manufacturing,electrical products,2,2.5
1998-Q1,manufacturing,electronic products,2.1,2.4
1998-Q1,manufacturing,medical and precision instruments,2.2,2.1
1998-Q1,manufacturing,transport equipment,2.9,1.9
1998-Q1,manufacturing,other manufacturing industries,2.2,1.9
1998-Q1,construction,construction,2.6,2.1
1998-Q1,services,wholesale and retail trade,3.4,3.5
1998-Q1,services,hotels and restaurants,3.8,4.8
1998-Q1,services,"transport, storage and communications",2,1.7
1998-Q1,services,financial intermediation,1.8,1.7
1998-Q1,services,business and real estate services,3.4,2.8
1998-Q1,services,"community, social and personal services",2.9,2.4
1998-Q1,others,others,2.1,1.9
1998-Q2,manufacturing,"food, beverages and tobacco",3.9,3.5
1998-Q2,manufacturing,textile and wearing apparel,2.8,2.5
1998-Q2,manufacturing,paper products and publishing,2,1.9
1998-Q2,manufacturing,petroleum and chemical products,1.3,1.4
1998-Q2,manufacturing,rubber and plastic products,2.6,3
1998-Q2,manufacturing,fabricated metal products,3.2,2.4
1998-Q2,manufacturing,machinery and equipment,1.9,1.8
1998-Q2,manufacturing,electrical products,1.4,1.6
1998-Q2,manufacturing,electronic products,1.6,2
1998-Q2,manufacturing,medical and precision instruments,1.4,1.5
1998-Q2,manufacturing,transport equipment,2.3,1.9
1998-Q2,manufacturing,other manufacturing industries,1.6,1.6
1998-Q2,construction,construction,2.6,2.2
1998-Q2,services,wholesale and retail trade,2.8,2.8
1998-Q2,services,hotels and restaurants,3.3,3.9
1998-Q2,services,"transport, storage and communications",2.2,1.7
1998-Q2,services,financial intermediation,1.8,1.4
1998-Q2,services,business and real estate services,3.1,2.8
1998-Q2,services,"community, social and personal services",2.6,2.2
1998-Q2,others,others,1.7,2
1998-Q3,manufacturing,"food, beverages and tobacco",3.6,2.9
1998-Q3,manufacturing,textile and wearing apparel,2.6,1.9
1998-Q3,manufacturing,paper products and publishing,1.7,1.7
1998-Q3,manufacturing,petroleum and chemical products,1.5,0.9
1998-Q3,manufacturing,rubber and plastic products,1.8,2
1998-Q3,manufacturing,fabricated metal products,2.7,2.2
1998-Q3,manufacturing,machinery and equipment,1.6,1.5
1998-Q3,manufacturing,electrical products,0.8,1.3
1998-Q3,manufacturing,electronic products,1.1,1.4
1998-Q3,manufacturing,medical and precision instruments,1.4,1.2
1998-Q3,manufacturing,transport equipment,1.7,1.4
1998-Q3,manufacturing,other manufacturing industries,1.8,1.7
1998-Q3,construction,construction,2.5,1.9
1998-Q3,services,wholesale and retail trade,2.4,2.3
1998-Q3,services,hotels and restaurants,3,3.1
1998-Q3,services,"transport, storage and communications",1.5,1.2
1998-Q3,services,financial intermediation,1.4,1.2
1998-Q3,services,business and real estate services,3.4,2.8
1998-Q3,services,"community, social and personal services",2.5,1.9
1998-Q3,others,others,2.1,2.1
1998-Q4,manufacturing,"food, beverages and tobacco",2.3,2.3
1998-Q4,manufacturing,textile and wearing apparel,2.3,1.4
1998-Q4,manufacturing,paper products and publishing,1.2,1.1
1998-Q4,manufacturing,petroleum and chemical products,0.7,0.5
1998-Q4,manufacturing,rubber and plastic products,1.6,1.7
1998-Q4,manufacturing,fabricated metal products,2.1,1.7
1998-Q4,manufacturing,machinery and equipment,1.6,1.6
1998-Q4,manufacturing,electrical products,0.7,0.9
1998-Q4,manufacturing,electronic products,1.5,0.9
1998-Q4,manufacturing,medical and precision instruments,0.7,0.8
1998-Q4,manufacturing,transport equipment,1,1.4
1998-Q4,manufacturing,other manufacturing industries,1.4,1.5
1998-Q4,construction,construction,2,2.2
1998-Q4,services,wholesale and retail trade,2.6,2
1998-Q4,services,hotels and restaurants,4.4,3.5
1998-Q4,services,"transport, storage and communications",1.2,0.8
1998-Q4,services,financial intermediation,2.1,0.8
1998-Q4,services,business and real estate services,2.5,2.5
1998-Q4,services,"community, social and personal services",1.7,1.5
1998-Q4,others,others,1.8,1.3
1999-Q1,manufacturing,"food, beverages and tobacco",2.6,2.6
1999-Q1,manufacturing,textile and wearing apparel,1.6,1.8
1999-Q1,manufacturing,paper products and publishing,1.9,1.7
1999-Q1,manufacturing,petroleum and chemical products,1,0.8
1999-Q1,manufacturing,rubber and plastic products,3.1,2.2
1999-Q1,manufacturing,fabricated metal products,2.2,1.9
1999-Q1,manufacturing,machinery and equipment,1.9,1.7
1999-Q1,manufacturing,electrical products,1.3,2
1999-Q1,manufacturing,electronic products,1.8,1.5
1999-Q1,manufacturing,medical and precision instruments,1.3,1.7
1999-Q1,manufacturing,transport equipment,1.2,1.3
1999-Q1,manufacturing,other manufacturing industries,1.3,1.6
1999-Q1,construction,construction,2.2,2.2
1999-Q1,services,wholesale and retail trade,2.7,2.6
1999-Q1,services,hotels and restaurants,4.1,4.5
1999-Q1,services,"transport, storage and communications",1.3,1.4
1999-Q1,services,financial intermediation,1.2,1.2
1999-Q1,services,business and real estate services,2.9,2.6
1999-Q1,services,"community, social and personal services",2.3,2
1999-Q1,others,others,2.5,1.6
1999-Q2,manufacturing,"food, beverages and tobacco",3.1,2.8
1999-Q2,manufacturing,textile and wearing apparel,3.1,2.2
1999-Q2,manufacturing,paper products and publishing,2.3,1.9
1999-Q2,manufacturing,petroleum and chemical products,1.4,1.1
1999-Q2,manufacturing,rubber and plastic products,3.4,2.9
1999-Q2,manufacturing,fabricated metal products,3.8,2.8
1999-Q2,manufacturing,machinery and equipment,2.5,2.3
1999-Q2,manufacturing,electrical products,2.4,2.3
1999-Q2,manufacturing,electronic products,2.9,2
1999-Q2,manufacturing,medical and precision instruments,2.4,2
1999-Q2,manufacturing,transport equipment,1.8,1.4
1999-Q2,manufacturing,other manufacturing industries,2.3,1.7
1999-Q2,construction,construction,2.2,2.2
1999-Q2,services,wholesale and retail trade,3.5,3
1999-Q2,services,hotels and restaurants,4.3,4
1999-Q2,services,"transport, storage and communications",1.6,1.3
1999-Q2,services,financial intermediation,1.7,1.5
1999-Q2,services,business and real estate services,3.8,3
1999-Q2,services,"community, social and personal services",2.8,2.4
1999-Q2,others,others,2.2,1.4
1999-Q3,manufacturing,"food, beverages and tobacco",3.2,3.2
1999-Q3,manufacturing,textile and wearing apparel,2.3,2.1
1999-Q3,manufacturing,paper products and publishing,2.9,2.1
1999-Q3,manufacturing,petroleum and chemical products,1.6,1.2
1999-Q3,manufacturing,rubber and plastic products,4.1,2.9
1999-Q3,manufacturing,fabricated metal products,2.6,2.6
1999-Q3,manufacturing,machinery and equipment,2.2,1.9
1999-Q3,manufacturing,electrical products,1.8,2.1
1999-Q3,manufacturing,electronic products,2.2,2
1999-Q3,manufacturing,medical and precision instruments,2.7,1.8
1999-Q3,manufacturing,transport equipment,1.4,1.4
1999-Q3,manufacturing,other manufacturing industries,2.7,2
1999-Q3,construction,construction,2.6,2.2
1999-Q3,services,wholesale and retail trade,3.9,3
1999-Q3,services,hotels and restaurants,5.2,4.5
1999-Q3,services,"transport, storage and communications",1.9,1.4
1999-Q3,services,financial intermediation,2.3,1.6
1999-Q3,services,business and real estate services,4.5,3.2
1999-Q3,services,"community, social and personal services",3.2,2.2
1999-Q3,others,others,0.9,0.7
1999-Q4,manufacturing,"food, beverages and tobacco",4,2.8
1999-Q4,manufacturing,textile and wearing apparel,1.4,1.2
1999-Q4,manufacturing,paper products and publishing,2.2,1.5
1999-Q4,manufacturing,petroleum and chemical products,1.1,0.9
1999-Q4,manufacturing,rubber and plastic products,3.7,2.7
1999-Q4,manufacturing,fabricated metal products,2,2
1999-Q4,manufacturing,machinery and equipment,1.9,1.3
1999-Q4,manufacturing,electrical products,1.3,1.2
1999-Q4,manufacturing,electronic products,2.8,2.4
1999-Q4,manufacturing,medical and precision instruments,1.4,1.2
1999-Q4,manufacturing,transport equipment,0.9,1.6
1999-Q4,manufacturing,other manufacturing industries,2.3,1.5
1999-Q4,construction,construction,2.3,2
1999-Q4,services,wholesale and retail trade,4,2.5
1999-Q4,services,hotels and restaurants,4.8,3.7
1999-Q4,services,"transport, storage and communications",1.8,1.3
1999-Q4,services,financial intermediation,1.8,1.2
1999-Q4,services,business and real estate services,4.1,3
1999-Q4,services,"community, social and personal services",2.3,1.9
1999-Q4,others,others,1,0.6
2000-Q1,manufacturing,"food, beverages and tobacco",3.4,3.5
2000-Q1,manufacturing,paper products and printing,3.5,2.8
2000-Q1,manufacturing,"petroleum, chemical and pharmaceutical products",2,1.2
2000-Q1,manufacturing,rubber and plastic products,3.9,2.6
2000-Q1,manufacturing,fabricated metal products,2.8,2.8
2000-Q1,manufacturing,machinery and equipment,3.1,2.3
2000-Q1,manufacturing,electrical products,2.5,2.4
2000-Q1,manufacturing,electronic products,2.9,2.6
2000-Q1,manufacturing,medical and precision instruments,4.4,2.7
2000-Q1,manufacturing,transport equipment,1,1.9
2000-Q1,manufacturing,other manufacturing industries,2.9,2.2
2000-Q1,construction,construction,2.2,2.1
2000-Q1,services,wholesale and retail trade,4,3.7
2000-Q1,services,transport and storage,2.3,1.6
2000-Q1,services,hotels and restaurants,4.8,4.8
2000-Q1,services,information and communications,3.4,2.8
2000-Q1,services,financial services,2.4,1.8
2000-Q1,services,real estate and leasing services,4,3.9
2000-Q1,services,professional services,3.5,2.5
2000-Q1,services,administrative and support services,6,5.3
2000-Q1,services,"community, social and personal services",3.1,2.7
2000-Q1,others,others,3.9,2.7
2000-Q2,manufacturing,"food, beverages and tobacco",3.6,3.4
2000-Q2,manufacturing,paper products and printing,3.4,3.2
2000-Q2,manufacturing,"petroleum, chemical and pharmaceutical products",2.1,1.4
2000-Q2,manufacturing,rubber and plastic products,4.2,3.5
2000-Q2,manufacturing,fabricated metal products,3.3,2.2
2000-Q2,manufacturing,machinery and equipment,3.5,2.2
2000-Q2,manufacturing,electrical products,2.5,2.3
2000-Q2,manufacturing,electronic products,4.1,2.5
2000-Q2,manufacturing,medical and precision instruments,3.6,2.5
2000-Q2,manufacturing,transport equipment,1.5,1.8
2000-Q2,manufacturing,other manufacturing industries,2.2,2.2
2000-Q2,construction,construction,2.7,2.3
2000-Q2,services,wholesale and retail trade,4.9,3.5
2000-Q2,services,transport and storage,2.4,1.8
2000-Q2,services,hotels and restaurants,5.2,4.4
2000-Q2,services,information and communications,4.4,3.1
2000-Q2,services,financial services,2.6,2.2
2000-Q2,services,real estate and leasing services,5,3.8
2000-Q2,services,professional services,3.8,2.5
2000-Q2,services,administrative and support services,6.2,5.2
2000-Q2,services,"community, social and personal services",3,2.7
2000-Q2,others,others,3.4,3
2000-Q3,manufacturing,"food, beverages and tobacco",3,2.4
2000-Q3,manufacturing,paper products and printing,2.9,2.4
2000-Q3,manufacturing,"petroleum, chemical and pharmaceutical products",2.2,1.3
2000-Q3,manufacturing,rubber and plastic products,3.7,3.2
2000-Q3,manufacturing,fabricated metal products,3.2,2.4
2000-Q3,manufacturing,machinery and equipment,3.3,2.1
2000-Q3,manufacturing,electrical products,2.2,2
2000-Q3,manufacturing,electronic products,3.7,2.2
2000-Q3,manufacturing,medical and precision instruments,3.1,2.2
2000-Q3,manufacturing,transport equipment,2.1,1.5
2000-Q3,manufacturing,other manufacturing industries,2.3,1.9
2000-Q3,construction,construction,2.6,2.1
2000-Q3,services,wholesale and retail trade,4.2,3.2
2000-Q3,services,transport and storage,2.2,1.6
2000-Q3,services,hotels and restaurants,4.6,4.5
2000-Q3,services,information and communications,5,3.1
2000-Q3,services,financial services,2.9,2.2
2000-Q3,services,real estate and leasing services,5.4,3.9
2000-Q3,services,professional services,3.8,2.8
2000-Q3,services,administrative and support services,6,5
2000-Q3,services,"community, social and personal services",3.1,2.4
2000-Q3,others,others,3.4,2.7
2000-Q4,manufacturing,"food, beverages and tobacco",2.5,2.3
2000-Q4,manufacturing,paper products and printing,2,1.7
2000-Q4,manufacturing,"petroleum, chemical and pharmaceutical products",1.7,0.8
2000-Q4,manufacturing,rubber and plastic products,2.9,2.4
2000-Q4,manufacturing,fabricated metal products,2.5,1.9
2000-Q4,manufacturing,machinery and equipment,2,1.8
2000-Q4,manufacturing,electrical products,1.4,1.2
2000-Q4,manufacturing,electronic products,2.7,1.7
2000-Q4,manufacturing,medical and precision instruments,1.8,1.3
2000-Q4,manufacturing,transport equipment,2.4,0.9
2000-Q4,manufacturing,other manufacturing industries,1.5,1.5
2000-Q4,construction,construction,2.4,2.2
2000-Q4,services,wholesale and retail trade,4.1,2.7
2000-Q4,services,transport and storage,1.7,1.2
2000-Q4,services,hotels and restaurants,4.9,4.2
2000-Q4,services,information and communications,3,2.5
2000-Q4,services,financial services,2.1,1.4
2000-Q4,services,real estate and leasing services,4.7,3
2000-Q4,services,professional services,2.6,2
2000-Q4,services,administrative and support services,4.3,4
2000-Q4,services,"community, social and personal services",2.1,1.5
2000-Q4,others,others,3.1,1.7
2001-Q1,manufacturing,"food, beverages and tobacco",3.5,3.4
2001-Q1,manufacturing,paper products and printing,4.2,3.2
2001-Q1,manufacturing,"petroleum, chemical and pharmaceutical products",1.5,1.4
2001-Q1,manufacturing,rubber and plastic products,2.8,3.5
2001-Q1,manufacturing,fabricated metal products,2.6,3.2
2001-Q1,manufacturing,machinery and equipment,2.6,2.1
2001-Q1,manufacturing,electrical products,2.2,2.9
2001-Q1,manufacturing,electronic products,1.8,2.6
2001-Q1,manufacturing,medical and precision instruments,2.2,2.2
2001-Q1,manufacturing,transport equipment,2.1,1.3
2001-Q1,manufacturing,other manufacturing industries,2.6,2
2001-Q1,construction,construction,2.8,2.7
2001-Q1,services,wholesale and retail trade,4.1,3.7
2001-Q1,services,transport and storage,2,1.7
2001-Q1,services,hotels and restaurants,4.9,4.9
2001-Q1,services,information and communications,3.2,2.7
2001-Q1,services,financial services,2.3,1.7
2001-Q1,services,real estate and leasing services,4.2,3.9
2001-Q1,services,professional services,2.9,2.3
2001-Q1,services,administrative and support services,5.5,4.7
2001-Q1,services,"community, social and personal services",3,2.5
2001-Q1,others,others,4.6,3.4
2001-Q2,manufacturing,"food, beverages and tobacco",3.1,2.5
2001-Q2,manufacturing,paper products and printing,2.1,2.3
2001-Q2,manufacturing,"petroleum, chemical and pharmaceutical products",1.3,1.1
2001-Q2,manufacturing,rubber and plastic products,2.1,2.6
2001-Q2,manufacturing,fabricated metal products,2,2.6
2001-Q2,manufacturing,machinery and equipment,2.1,1.8
2001-Q2,manufacturing,electrical products,1.3,2
2001-Q2,manufacturing,electronic products,1.1,1.6
2001-Q2,manufacturing,medical and precision instruments,2.2,1.5
2001-Q2,manufacturing,transport equipment,2.1,1.3
2001-Q2,manufacturing,other manufacturing industries,1.9,1.8
2001-Q2,construction,construction,2.5,2.5
2001-Q2,services,wholesale and retail trade,3.5,3.1
2001-Q2,services,transport and storage,2,1.4
2001-Q2,services,hotels and restaurants,5.1,4.4
2001-Q2,services,information and communications,3,2.3
2001-Q2,services,financial services,2.1,1.7
2001-Q2,services,real estate and leasing services,4.3,3.6
2001-Q2,services,professional services,3.2,2.4
2001-Q2,services,administrative and support services,5.7,4.6
2001-Q2,services,"community, social and personal services",2.9,2.2
2001-Q2,others,others,4.1,3.2
2001-Q3,manufacturing,"food, beverages and tobacco",2.3,2.2
2001-Q3,manufacturing,paper products and printing,1.2,2
2001-Q3,manufacturing,"petroleum, chemical and pharmaceutical products",1.5,1
2001-Q3,manufacturing,rubber and plastic products,2,2.1
2001-Q3,manufacturing,fabricated metal products,2,2.1
2001-Q3,manufacturing,machinery and equipment,1.5,1.6
2001-Q3,manufacturing,electrical products,0.9,1.2
2001-Q3,manufacturing,electronic products,0.9,1.4
2001-Q3,manufacturing,medical and precision instruments,1.6,1.2
2001-Q3,manufacturing,transport equipment,2.7,1.1
2001-Q3,manufacturing,other manufacturing industries,1.9,1.9
2001-Q3,construction,construction,2.6,2.4
2001-Q3,services,wholesale and retail trade,2.8,2.6
2001-Q3,services,transport and storage,1.8,1.1
2001-Q3,services,hotels and restaurants,4.2,4.8
2001-Q3,services,information and communications,2.3,1.8
2001-Q3,services,financial services,1.7,1.5
2001-Q3,services,real estate and leasing services,4.1,3.1
2001-Q3,services,professional services,2.7,2
2001-Q3,services,administrative and support services,5.3,4.5
2001-Q3,services,"community, social and personal services",2.7,1.9
2001-Q3,others,others,4,2.9
2001-Q4,manufacturing,"food, beverages and tobacco",1.6,1.4
2001-Q4,manufacturing,paper products and printing,1,1.2
2001-Q4,manufacturing,"petroleum, chemical and pharmaceutical products",0.8,0.5
2001-Q4,manufacturing,rubber and plastic products,1.9,1.7
2001-Q4,manufacturing,fabricated metal products,2.2,2
2001-Q4,manufacturing,machinery and equipment,1.3,1.1
2001-Q4,manufacturing,electrical products,0.6,0.8
2001-Q4,manufacturing,electronic products,1.1,1.1
2001-Q4,manufacturing,medical and precision instruments,0.8,0.6
2001-Q4,manufacturing,transport equipment,3.3,0.8
2001-Q4,manufacturing,other manufacturing industries,1.1,1.9
2001-Q4,construction,construction,2,2.2
2001-Q4,services,wholesale and retail trade,2.4,2
2001-Q4,services,transport and storage,1.2,1
2001-Q4,services,hotels and restaurants,3.8,3.6
2001-Q4,services,information and communications,1.4,1.4
2001-Q4,services,financial services,0.9,0.9
2001-Q4,services,real estate and leasing services,3.7,3.2
2001-Q4,services,professional services,1.7,1.7
2001-Q4,services,administrative and support services,5,4.2
2001-Q4,services,"community, social and personal services",1.6,1.4
2001-Q4,others,others,2.7,2.3
2002-Q1,manufacturing,"food, beverages and tobacco",2,1.6
2002-Q1,manufacturing,paper products and printing,1.8,1.7
2002-Q1,manufacturing,"petroleum, chemical and pharmaceutical products",1,0.8
2002-Q1,manufacturing,rubber and plastic products,2.5,2.4
2002-Q1,manufacturing,fabricated metal products,2.4,2.8
2002-Q1,manufacturing,machinery and equipment,2.1,1.7
2002-Q1,manufacturing,electrical products,1.1,1
2002-Q1,manufacturing,electronic products,1.8,1.4
2002-Q1,manufacturing,medical and precision instruments,1.6,1.4
2002-Q1,manufacturing,transport equipment,2.3,0.9
2002-Q1,manufacturing,other manufacturing industries,1.1,1.7
2002-Q1,construction,construction,1.8,2.1
2002-Q1,services,wholesale and retail trade,2.3,2.4
2002-Q1,services,transport and storage,1.3,1.2
2002-Q1,services,hotels and restaurants,4.1,4.6
2002-Q1,services,information and communications,1.7,1.6
2002-Q1,services,financial services,1.3,1
2002-Q1,services,real estate and leasing services,3.7,3.7
2002-Q1,services,professional services,1.5,1.5
2002-Q1,services,administrative and support services,5.9,4.3
2002-Q1,services,"community, social and personal services",2,1.9
2002-Q1,others,others,2.9,2.4
2002-Q2,manufacturing,"food, beverages and tobacco",2.3,2.2
2002-Q2,manufacturing,paper products and printing,2.6,2.5
2002-Q2,manufacturing,"petroleum, chemical and pharmaceutical products",1.4,1
2002-Q2,manufacturing,rubber and plastic products,3.8,2.8
2002-Q2,manufacturing,fabricated metal products,2.5,2.8
2002-Q2,manufacturing,machinery and equipment,2.3,2
2002-Q2,manufacturing,electrical products,2.2,1.8
2002-Q2,manufacturing,electronic products,2.1,1.7
2002-Q2,manufacturing,medical and precision instruments,1.3,1.5
2002-Q2,manufacturing,transport equipment,1.8,1.1
2002-Q2,manufacturing,other manufacturing industries,1.6,1.7
2002-Q2,construction,construction,2.2,2.2
2002-Q2,services,wholesale and retail trade,2.9,2.5
2002-Q2,services,transport and storage,1.8,1.2
2002-Q2,services,hotels and restaurants,4.7,4.6
2002-Q2,services,information and communications,1.9,2.1
2002-Q2,services,financial services,1.5,1.3
2002-Q2,services,real estate and leasing services,4.9,3.8
2002-Q2,services,professional services,2.1,2.1
2002-Q2,services,administrative and support services,5.3,4.9
2002-Q2,services,"community, social and personal services",2.4,2
2002-Q2,others,others,3.7,2.9
2002-Q3,manufacturing,"food, beverages and tobacco",3,2.5
2002-Q3,manufacturing,paper products and printing,2.2,1.9
2002-Q3,manufacturing,"petroleum, chemical and pharmaceutical products",1.5,0.9
2002-Q3,manufacturing,rubber and plastic products,2.7,2.5
2002-Q3,manufacturing,fabricated metal products,2.5,2.3
2002-Q3,manufacturing,machinery and equipment,2.4,1.8
2002-Q3,manufacturing,electrical products,1.4,1.3
2002-Q3,manufacturing,electronic products,3.3,1.8
2002-Q3,manufacturing,medical and precision instruments,1.9,1.3
2002-Q3,manufacturing,transport equipment,1.5,1.3
2002-Q3,manufacturing,other manufacturing industries,1.9,1.8
2002-Q3,construction,construction,2.2,2
2002-Q3,services,wholesale and retail trade,3.1,2.6
2002-Q3,services,transport and storage,1.7,1.3
2002-Q3,services,hotels and restaurants,5.2,4.8
2002-Q3,services,information and communications,1.9,1.8
2002-Q3,services,financial services,1.6,1.4
2002-Q3,services,real estate and leasing services,4.5,3.8
2002-Q3,services,professional services,2.9,2.6
2002-Q3,services,administrative and support services,4.8,3.9
2002-Q3,services,"community, social and personal services",2.7,2.1
2002-Q3,others,others,4.6,3.7
2002-Q4,manufacturing,"food, beverages and tobacco",2.7,1.6
2002-Q4,manufacturing,paper products and printing,1.4,1.5
